_id,usernameTweet,ID,text,url,nbr_retweet,nbr_favorite,nbr_reply,datetime,is_reply,is_retweet,user_id
ObjectId(5ea08ff41657436c17445349),esp_covid19,1250928141490688001,"Alarmados por la creciente violencia doméstica en cuarentena por #COVID19 , el equipo de voluntarios recopiló recursos por país que se pueden consultar en modo ""navegación segura"" aquí:

 https://www. covid19espanol.com/#/como-toser-e n-codo/   …",/esp_covid19/status/1250928141490688001,0,1,0,2020-04-16 23:24:44,false,false,1239408182855905280
ObjectId(5ea08ff41657436c1744534a),esp_covid19,1250928140416880640,"7. Ampliar las campañas de concienciación pública, en particular las dirigidas a hombres y niños.",/esp_covid19/status/1250928140416880640,0,1,1,2020-04-16 23:24:44,false,false,1239408182855905280
ObjectId(5ea08ff41657436c1744534b),esp_covid19,1250928139003363329,"5. Crear formas seguras para que las mujeres busquen apoyo, sin alertar a sus abusadores.

6. Evitar la liberación de prisioneros condenados por cualquier tipo de violencia contra la mujer.",/esp_covid19/status/1250928139003363329,0,1,1,2020-04-16 23:24:44,false,false,1239408182855905280
ObjectId(5ea08ff41657436c1744534c),esp_covid19,1250928137820659713,"2. Garantizar que los sistemas judiciales sigan procesando a los abusadores.

3. Establecer sistemas de alerta de emergencia en farmacias y tiendas de comestibles.

4. Declarar los centros de acogida como servicios indispensables.",/esp_covid19/status/1250928137820659713,0,1,1,2020-04-16 23:24:43,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744534d),esp_covid19,1250928136600137729,"Para atender la grave situación de violencia doméstica en cuarentena, la @ONU_es  emitió las siguientes recomendaciones:

1. Aumentar la inversión en servicios de ayuda en línea y en organizaciones de la sociedad civil.",/esp_covid19/status/1250928136600137729,0,1,1,2020-04-16 23:24:43,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744534e),esp_covid19,1250928135379529728,"""Sabemos que los confinamientos y las cuarentenas son esenciales para reducir el #COVID19 . Pero pueden hacer que las mujeres se vean atrapadas con parejas abusivas"", destacó el titular de la @ONU_es  @antonioguterres",/esp_covid19/status/1250928135379529728,1,1,1,2020-04-16 23:24:43,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744534f),esp_covid19,1250928133936746496,"# NiUnaMas  | Hace pocos días, el Secretario General de la @ONU_es  @antonioguterres  pidió se adopten medidas para hacer frente a ""un estremecedor repunte global de la violencia doméstica"" contra mujeres y niñas ocurridos debido al confinamiento por #COVID19 https:// news.un.org/es/story/2020/ 04/1472392   …",/esp_covid19/status/1250928133936746496,3,3,1,2020-04-16 23:24:42,false,false,1239408182855905280
ObjectId(5ea08ff51657436c17445350),esp_covid19,1250888537077145610,"¡Excelente, lo sintonizamos!",/esp_covid19/status/1250888537077145610,0,3,0,2020-04-16 20:47:22,true,false,1239408182855905280
ObjectId(5ea08ff51657436c17445351),ASCOA,1250885245961895936,"El coronavirus aterrizó en América Latina el 26 de febrero. Desde entonces, los gobiernos de la región han tomado una serie de medidas para contener la propagación de COVID-19.

Puede leer nuestra guía de la pandemia en español gracias a @esp_covid19 .  https:// bit.ly/3ch1ZJU  ",/ASCOA/status/1250885245961895936,3,5,0,2020-04-16 20:34:17,false,false,26060210
ObjectId(5ea08ff51657436c17445352),DenaliBerenice,1250881744984629248,pic.twitter.com/s0mSzvaO2n,/DenaliBerenice/status/1250881744984629248,0,1,0,2020-04-16 20:20:22,true,false,1114237891545186304
